file,prediction,ai_probability,prediction_name,ai_probability_percent
/home/jack/Videos/snip_4sec/garystafford/hg_0009_c_part_005.flac,1,0.999996542930603,AI,99.9996542930603
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/208 - Movie Studios in Yarn (Behind the Scenes)_034.wav,1,0.9999964237213135,AI,99.99964237213135
/home/jack/Videos/snip_4sec/garystafford/hg_0009_c_part_006.flac,1,0.9999964237213135,AI,99.99964237213135
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/090 - Sora 2 S1E3_037.wav,1,0.9999964237213135,AI,99.99964237213135
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/230 - The Ultimate Spongebob Sora 2 Compilation_144.wav,1,0.9999963045120239,AI,99.99963045120239
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/021 - Sora 2 Made Famous Characters Run From The Police 🚨😂_008.wav,1,0.9999961853027344,AI,99.99961853027344
"/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/174 - Sora 2 - Family Guy, South Park, SpongeBob SquarePants and more! ｜ AI Cartoon Compilation #3_052.wav",1,0.9999961853027344,AI,99.99961853027344
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/014 - Anime Videos Generated by SORA 2._133.wav,1,0.9999961853027344,AI,99.99961853027344
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/089 - Movie Studios in Zombiewood (Halloween edition)_050.wav,1,0.9999961853027344,AI,99.99961853027344
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/009 - SpongeBob Classic Scene： Everyone Has Ulterior Motives._090.wav,1,0.9999961853027344,AI,99.99961853027344
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/197 - Movie Studios Take Over Parade!_008.wav,1,0.9999961853027344,AI,99.99961853027344
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/014 - Anime Videos Generated by SORA 2._003.wav,1,0.9999960660934448,AI,99.99960660934448
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/040 - BEST SORA 2 AI MEMES EPISODE 6_589.wav,1,0.9999960660934448,AI,99.99960660934448
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/173 - BEST SORA 2 AI MEMES EPISODE 10_211.wav,1,0.9999960660934448,AI,99.99960660934448
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/186 - Bob and Crab Argue cause why not_001.wav,1,0.9999958276748657,AI,99.99958276748657
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/059 - Sora 2 AI Best Family Guy Cutaways_015.wav,1,0.9999958276748657,AI,99.99958276748657
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/105 - sora 2 stuff_170.wav,1,0.9999957084655762,AI,99.99957084655762
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/011 - What If Cartoons Had Anime Openings - Sora 2 AI (Part 3)_011.wav,1,0.9999955892562866,AI,99.99955892562866
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/085 - BFDI Intros but Ruined by Sora 2 AI_001.wav,1,0.9999954700469971,AI,99.9995470046997
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/146 - Movie Studio Mascots： Cyberpunk Reality_010.wav,1,0.9999954700469971,AI,99.9995470046997
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/193 - Sora AI Lost Episode Analog Horror Compilation_073.wav,1,0.9999954700469971,AI,99.9995470046997
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/292 - McDonald’s 🍟Happy Meal by Animation Studios_013.wav,1,0.9999954700469971,AI,99.9995470046997
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/230 - The Ultimate Spongebob Sora 2 Compilation_202.wav,1,0.9999954700469971,AI,99.9995470046997
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/008 - A fully AI generated Spongebob episode. Part 2! (Sora 2)_015.wav,1,0.999995231628418,AI,99.9995231628418
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/014 - Anime Videos Generated by SORA 2._001.wav,1,0.999995231628418,AI,99.9995231628418
